"nom.size","an","N","T","omega"
0.022,0.4,500,10,-6.47822011386786
0.044,0.01,500,10,-8.8355906761459
0.028,0.05,500,10,-8.8355906761459
0.034,0.1,500,10,-8.8355906761459
0.038,0.2,500,10,-8.8355906761459
0.052,0.3,500,10,-8.8355906761459
0.034,0.4,500,10,-8.8355906761459
0.048,0.01,500,10,-7.69457671655681
0.022,0.05,500,10,-7.69457671655681
0.024,0.1,500,10,-7.69457671655681
0.03,0.2,500,10,-7.69457671655681
0.034,0.3,500,10,-7.69457671655681
0.048,0.4,500,10,-7.69457671655681
0.032,0.01,500,10,-8.69855670836281
0.038,0.05,500,10,-8.69855670836281
0.026,0.1,500,10,-8.69855670836281
0.028,0.2,500,10,-8.69855670836281
0.04,0.3,500,10,-8.69855670836281
0.032,0.4,500,10,-8.69855670836281
0.026,0.01,500,10,-7.5584287942071
0.036,0.05,500,10,-7.5584287942071
0.036,0.1,500,10,-7.5584287942071
0.028,0.2,500,10,-7.5584287942071
0.05,0.3,500,10,-7.5584287942071
0.046,0.4,500,10,-7.5584287942071
0.034,0.01,500,10,-10.1508385035857
0.026,0.05,500,10,-10.1508385035857
0.038,0.1,500,10,-10.1508385035857
0.03,0.2,500,10,-10.1508385035857
0.034,0.3,500,10,-10.1508385035857
0.048,0.4,500,10,-10.1508385035857
0.046,0.01,500,10,-8.76974127170824
0.034,0.05,500,10,-8.76974127170824
0.036,0.1,500,10,-8.76974127170824
0.034,0.2,500,10,-8.76974127170824
0.034,0.3,500,10,-8.76974127170824
0.03,0.4,500,10,-8.76974127170824
0.056,0.01,500,10,-10.0181073597454
0.038,0.05,500,10,-10.0181073597454
0.026,0.1,500,10,-10.0181073597454
0.044,0.2,500,10,-10.0181073597454
0.038,0.3,500,10,-10.0181073597454
0.026,0.4,500,10,-10.0181073597454
0.034,0.01,500,10,-8.63863747454634
0.024,0.05,500,10,-8.63863747454634
0.026,0.1,500,10,-8.63863747454634
0.04,0.2,500,10,-8.63863747454634
0.052,0.3,500,10,-8.63863747454634
0.04,0.4,500,10,-8.63863747454634
0.028,0.01,500,10,-10.3665468358987
0.042,0.05,500,10,-10.3665468358987
0.028,0.1,500,10,-10.3665468358987
0.034,0.2,500,10,-10.3665468358987
0.044,0.3,500,10,-10.3665468358987
0.028,0.4,500,10,-10.3665468358987
0.048,0.01,500,10,-8.93353739537825
0.036,0.05,500,10,-8.93353739537825
0.034,0.1,500,10,-8.93353739537825
0.026,0.2,500,10,-8.93353739537825
0.032,0.3,500,10,-8.93353739537825
0.038,0.4,500,10,-8.93353739537825
0.038,0.01,500,10,-10.2317230516015
0.028,0.05,500,10,-10.2317230516015
0.038,0.1,500,10,-10.2317230516015
0.036,0.2,500,10,-10.2317230516015
0.038,0.3,500,10,-10.2317230516015
0.024,0.4,500,10,-10.2317230516015
0.038,0.01,500,10,-8.80006343749185
0.052,0.05,500,10,-8.80006343749185
0.038,0.1,500,10,-8.80006343749185
0.038,0.2,500,10,-8.80006343749185
0.032,0.3,500,10,-8.80006343749185
