nom.size,an,N,T,omega
0.024,0.3,100,2,-0.766159318
0.024,0.4,100,2,-0.766159318
0.042,0.05,100,2,-0.651426597
0.028,0.1,100,2,-0.651426597
0.026,0.15,100,2,-0.651426597
0.024,0.2,100,2,-0.651426597
0.022,0.3,100,2,-0.651426597
0.016,0.4,100,2,-0.651426597
0.046,0.05,100,2,-0.809785959
0.038,0.1,100,2,-0.809785959
0.036,0.15,100,2,-0.809785959
0.032,0.2,100,2,-0.809785959
0.026,0.3,100,2,-0.809785959
0.018,0.4,100,2,-0.809785959
0.04,0.05,100,2,-0.303543687
0.028,0.1,100,2,-0.303543687
0.026,0.15,100,2,-0.303543687
0.022,0.2,100,2,-0.303543687
0.014,0.3,100,2,-0.303543687
0.012,0.4,100,2,-0.303543687
0.046,0.05,100,2,-0.404451011
0.034,0.1,100,2,-0.404451011
0.03,0.15,100,2,-0.404451011
0.028,0.2,100,2,-0.404451011
0.028,0.3,100,2,-0.404451011
0.02,0.4,100,2,-0.404451011
0.044,0.05,100,2,-0.231978615
0.036,0.1,100,2,-0.231978615
