"padron"	"year"	"ciiu"	"rY"	"d_e"	"d_m"	"rexport"	"rMi"	"L"	"rM"	"markup"
60714	93	3220	1156874	1	1	25276.09	142626	245	661782.3	.1918372
60714	94	3220	1247382	1	1	42271.32	39717.75	236	511939.1	.3154451
60714	95	3220	1360253	1	1	13202.26	122728.5	213	753052.8	.1797104
60714	96	3220	1679059	1	1	89462.05	109423	223	825709.6	.2150823
60732	90	3220	19147	0	0	0	0	20	17052	-.1417454
60732	91	3213	114011.2	0	0	0	0	28	76804.28	.1424879
60732	92	3220	130031.4	0	0	0	0	26	71429.76	.2722341
60732	93	3220	153571.7	1	0	1029.683	0	24	96544.23	.2011297
60732	94	3220	215000.1	1	0	25050.27	0	22	133093.9	.2556166
60732	95	3220	279748.9	0	0	0	0	40	192387.2	.088198
60732	96	3220	361369.5	0	0	0	0	19	215270.9	.2289965
60813	90	3220	241877	0	0	0	0	59	127949	.2945629
60813	91	3220	229856.6	0	0	0	0	79	134022.6	.2183966
60813	92	3220	206227.3	0	0	0	0	86	120246.9	.2135157
60813	93	0	0	-1	-1	0	0	0	0	0
60813	94	0	0	-1	-1	0	0	0	0	0
60813	95	0	0	-1	-1	0	0	0	0	0
60813	96	0	0	-1	-1	0	0	0	0	0
60831	90	3220	123376	0	1	0	5639	34	58759	.4453135
60831	91	3220	140362.3	0	1	0	6881.825	37	69002.84	.4293726
60831	92	3220	128935.4	0	1	0	23940.75	24	101190.9	.1358708
60831	93	3220	68762.07	0	0	0	0	19	39075.43	.2921444
60831	94	3220	71147.6	0	0	0	0	20	45322.37	.2198111
60831	95	3220	80031.3	0	0	0	0	20	40066.44	.368114
60831	96	3220	86481.06	0	0	0	0	13	60168.56	.1724561
61461	90	3220	155350	0	0	0	0	17	110569	.2210557
61461	91	3220	162433.9	0	0	0	0	23	98472.84	.3016083
61461	92	3220	160145.3	0	0	0	0	24	88418.24	.3318962
61461	93	3220	108049.6	0	0	0	0	23	58955.16	.207267
61461	94	3220	145671.2	0	0	0	0	25	43376.6	.4947191
61461	95	3220	181186.5	0	0	0	0	22	81183.01	.4005147
61461	96	3220	166078	0	0	0	0	17	69109.23	.4077359
61704	90	0	0	-1	-1	0	0	0	0	0
61704	91	0	0	-1	-1	0	0	0	0	0
61704	92	0	0	-1	-1	0	0	0	0	0
61704	93	3220	83583.13	0	0	0	0	13	63880.88	.1298891
61704	94	3220	61682.87	0	0	0	0	16	41705.65	.1382656
61704	95	3220	79923.14	1	0	4550.563	0	12	56500.2	.1144861
61704	96	3220	104035.8	0	0	0	0	18	75161.9	.1098644
61821	90	3220	259616	0	0	0	0	75	114325	.4257442
61821	91	3220	297458.1	0	0	0	0	63	204670.1	.1642745
61821	92	3220	293679.3	0	0	0	0	62	199917.9	.1408591
61821	93	3220	278758.2	0	0	0	0	72	194170	.0756244
61821	94	3220	211191.5	0	0	0	0	51	143183.2	.0692517
61821	95	3220	171141.2	0	0	0	0	29	123490	.0782015
61821	96	3220	225712.4	0	0	0	0	23	215813.4	-.078466
61983	90	3220	195198	0	0	0	0	23	124985	.2725489
61983	91	3220	203436.8	0	0	0	0	29	146403.1	.173745
61983	92	3220	192649.4	1	0	341.6475	0	29	144734	.134519
61983	93	3220	203458.4	0	0	0	0	28	113864	.3000372
61983	94	3220	209069.8	0	0	0	0	24	114952.8	.2926457
61983	95	3213	249613	0	1	0	20895.17	29	138345.3	.1808292
61983	96	3213	282721.7	0	1	0	48324.51	28	105215.4	.438854
62001	90	3220	677385	0	0	0	0	78	354908	.3151797
62001	91	3220	690772.6	0	0	0	0	70	256160.5	.4786508
62001	92	3220	599477.9	1	0	31916	0	73	304922.3	.371304
62001	93	0	0	-1	-1	0	0	0	0	0
62001	94	0	0	-1	-1	0	0	0	0	0
62001	95	0	0	-1	-1	0	0	0	0	0
62001	96	0	0	-1	-1	0	0	0	0	0
62046	90	3220	147552	0	0	0	0	36	88109	.2367979
62046	91	3220	141243	0	0	0	0	34	87698.16	.2057408
62046	92	3220	124101.5	0	0	0	0	26	76221.95	.2401072
62046	93	3220	152986	0	0	0	0	29	99122.76	.2169729
62046	94	3220	147159.6	0	0	0	0	21	83728.9	.3062181
62046	95	3220	219484.5	0	1	0	6723.901	32	111482.6	.3943225
62046	96	3220	241116.1	0	0	0	0	17	116847.4	.4006712
62118	90	3220	103225	0	0	0	0	26	70231	.1737564
62118	91	3220	113407.8	0	0	0	0	27	67013.77	.2774124
62118	92	3220	101812.9	0	1	0	6850.554	27	61735.84	.2517242
62118	93	3220	101537.1	0	0	0	0	28	47636.63	.3570676
62118	94	3220	113079.9	0	0	0	0	30	61219.5	.2813141
62118	95	3220	134595.7	0	0	0	0	25	81565.94	.216765
62118	96	3220	178412.3	0	0	0	0	27	87118.15	.3527555
62253	90	3220	2977097	1	0	45096	0	62	1858396	.3348977
62253	91	3220	3666301	1	0	35613.48	0	75	2794716	.1906247
62253	92	3220	3284492	1	1	5096.025	1087027	84	2127071	.3241077
62253	93	3220	3528028	1	1	690.6653	1106659	100	2464083	.2643784
62253	94	3220	3310734	0	1	0	1031814	99	1953431	.3592961
62253	95	3220	4132741	1	1	14790.97	962362.6	87	2385963	.3858991
62253	96	3220	4679975	0	1	0	853073.4	77	3102126	.283669
62334	90	3220	558567	1	1	2684	33860	95	527850	-.0637524
62334	91	3220	837077.1	1	1	12586.6	35323.78	110	504675.2	.3003804
