,Country,Industry,Model,Stat,M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10,T
11,Chile,Textiles,K mixture 3,LR Crit,"14.5, 16.3, 18.9","17.3, 20.4, 22.6","18.1, 22.1, 26.3","16.3, 18.6, 20.5","17.2, 19.5, 23.0","14.9, 17.2, 21.1",-,-,-,-,3
10,Chile,Textiles,K mixture 3 ciiu,LR,211.2540,153.0309,97.0790,49.6057,36.4257,17.9159,-,-,-,-,3
11,Chile,Textiles,K mixture 3 ciiu,LR Crit,"16.0, 19.3, 23.0","22.2, 25.6, 36.7","18.5, 23.4, 28.4","19.4, 22.2, 26.2","15.2, 19.0, 25.4","28.1, 35.3, 40.3",-,-,-,-,3
10,Chile,Textiles,K mixture 4,LR,221.4023,173.4902,76.1765,42.6927,35.3758,16.8144,-,-,-,-,3
11,Chile,Textiles,K mixture 4,LR Crit,"16.0, 17.7, 25.6","17.8, 21.0, 24.6","18.8, 21.3, 24.9","17.6, 19.2, 26.3","18.4, 22.4, 28.6","34.2, 43.0, 49.6",-,-,-,-,3
10,Chile,Textiles,K mixture 4 ciiu,LR,220.4310,143.9231,102.7743,42.3569,34.3773,5.6093,-,-,-,-,3
11,Chile,Textiles,K mixture 4 ciiu,LR Crit,"18.3, 22.1, 26.8","19.5, 27.0, 46.7","16.0, 25.9, 140.8","17.9, 21.5, 31.0","19.2, 22.6, 26.6","29.8, 43.1, 58.8",-,-,-,-,3
10,Chile,Textiles,K mixture ciiu,LR,210.8333,155.3221,95.4005,45.9302,36.9283,9.7056,-,-,-,-,3
11,Chile,Textiles,K mixture ciiu,LR Crit,"11.7, 15.4, 22.1","14.9, 20.6, 34.4","17.0, 19.5, 25.3","19.0, 22.5, 35.1","16.0, 19.4, 53.5","16.0, 20.3, 45.5",-,-,-,-,3
10,Chile,Textiles,Kmshare,LR,310.6363,177.4501,81.6192,43.5664,30.0416,22.0199,11.5829,-,-,-,3
11,Chile,Textiles,Kmshare,LR Crit,"15.8, 18.8, 21.1","16.4, 18.1, 21.6","15.2, 16.8, 19.3","16.5, 19.0, 21.9","15.6, 17.2, 20.7","16.4, 18.3, 23.6","14.0, 17.3, 19.5",-,-,-,3
10,Chile,Textiles,Kmshare mixture,LR,221.1327,172.8602,83.0613,41.7740,9.0154,-,-,-,-,-,3
11,Chile,Textiles,Kmshare mixture,LR Crit,"13.6, 15.6, 21.1","18.1, 19.3, 25.7","19.1, 21.6, 24.0","20.6, 22.5, 24.3","20.6, 21.9, 26.7",-,-,-,-,-,3
